min,max,minimum,maximum,range,start,end,average,standard_deviation,Start,End,high,medium,low,overall,initial,final,percentageRange,price,range_percentage,percentile_25,percentile_50,percentile_75,standardDeviation,mean,std,0,mid-range,Initial,First Step,Second Step,Third Step,Fourth Step,std_dev,stdDev,Plateau,Subsequent,Fluctuation,Final,initial_peak,mid_range,final_range,time_series_description,percentage_range,interquartile_range,23.16,22.46,21.76,percentile25,percentile50,percentile75,overall_range,avg,intermediate,initial_range,middle,Level 1,Level 2,Level 3,Level 4,final_excluding_outlier,final_including_outlier,mid,recent_dip,range_1,range_2,range_3,range_4,range_5,range_6,median,181.30,177.67,171.50,167.87,interquartileRange,Range,Range1,Range2,Range3,increased_range,variance,later,InitialRange,OverallRange,PostDrop,overallDecrease,AfterIncrease,Initial_Range,Final_Range,Overall_Range,19.55,18.96,18.38,17.79,starting_value,ending_value,Overall,percentiles,range_time_series_description,average_change,initialStable,postDrop,drop,upward_trend,min_percentage,max_percentage,initial_high,stable_low,stable,finalDecline,Initial_stable_period,First_increase,Sustained_high,Significant_decrease,Stable_low,Final_increase,intermediate_range,High,Medium,Low,Midpoint,range1,range2,range3,range4,range5,range6,Minimum,Maximum,192,190,252.29,294.09,120.34,315.50,Mid-range,Lower_range,overall_increase,stablePeriod,finalDrop,percentage_change,range_before_jump,lower,upper,Initial_range,Mid_range,Recent_range,final_drop,average_growth
45-50%,100-105%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,90%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0%,100%,,100%,86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0%,0%,,,,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10.94%,11.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.50%,10.62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30-35%,35-40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
